,date,VTI_adjclose,AGG_adjclose,SP_adjclose
0,20040102,38.44829178,58.27651978,1108.47998
1,20040105,38.87776947,58.34537125,1122.219971
2,20040106,39.01129913,58.60929489,1123.670044
3,20040107,39.12317657,58.7412262,1126.329956
4,20040108,39.26756668,58.72404861,1131.920044
5,20040109,39.01492691,59.2117691,1121.859985
6,20040112,39.19538116,59.04535675,1127.22998
7,20040113,39.10515976,59.18310165,1121.219971
8,20040114,39.38667297,59.17732239,1130.52002
9,20040115,39.55269241,59.2518692,1132.050049
10,20040116,39.67178345,59.20601654,1139.829956
11,20040120,39.77284241,59.1543808,1138.77002
12,20040121,39.94246674,59.19452667,1147.619995
13,20040122,39.91359711,59.29779053,1143.939941
14,20040123,39.84141159,59.1543808,1141.550049
15,20040126,40.26008224,58.92484665,1155.369995
16,20040127,39.91719818,59.01094437,1144.050049
17,20040128,39.41192245,58.89042664,1128.47998
18,20040129,39.48410416,58.7527771,1134.109985
19,20040130,39.4263649,58.86756134,1131.130005
20,20040202,39.49855042,58.88363647,1135.26001
21,20040203,39.48771667,59.0447197,1136.030029
22,20040204,39.11959076,59.05044937,1126.52002
23,20040205,39.27838898,58.88363647,1128.589966
24,20040206,39.78366852,59.12522125,1142.76001
25,20040209,39.73313904,59.16550827,1139.810059
26,20040210,39.98578262,59.03890991,1145.540039
27,20040211,40.31781387,59.26906586,1157.76001
28,20040212,40.20954895,59.27482986,1152.109985
29,20040213,40.00382614,59.53944778,1145.810059
30,20040217,40.42248917,59.39561081,1156.98999
31,20040218,40.24203491,59.34963989,1151.819946
32,20040219,40.02187347,59.41292572,1147.060059
33,20040220,39.89916992,59.22881317,1144.109985
34,20040223,39.63209534,59.38986969,1140.98999
35,20040224,39.65014267,59.33810806,1139.089966
36,20040225,39.86305618,59.47613144,1143.670044
37,20040226,39.92081833,59.37840271,1144.910034
38,20040227,39.97855377,59.53944778,1144.939941
39,20040301,40.3683548,59.56601334,1155.969971
40,20040302,40.22038651,59.3584137,1149.099976
41,20040303,40.24203491,59.29490662,1151.030029
42,20040304,40.42248917,59.43913651,1154.869995
43,20040305,40.54880905,59.87742615,1156.859985
44,20040308,40.1770668,60.07926178,1147.199951
45,20040309,39.96773529,60.1657753,1140.579956
46,20040310,39.25312805,60.09654617,1123.890015
47,20040311,38.7514534,60.22916794,1106.780029
48,20040312,39.30003357,60.04462051,1120.569946
49,20040315,38.70453644,60.05618286,1104.48999
50,20040316,38.91747284,60.20035172,1110.699951
51,20040317,39.33614349,60.17146301,1123.75
52,20040318,39.28921127,60.1138649,1122.319946
53,20040319,38.83446121,60.05038834,1109.780029
54,20040322,38.34001541,60.20609665,1095.400024
55,20040323,38.29670715,60.21188736,1093.949951
56,20040324,38.25699997,60.24649429,1091.329956
57,20040325,38.79837418,60.21188736,1109.189941
58,20040326,38.89218903,60.00429916,1108.060059
59,20040329,39.27965164,59.89472198,1122.469971
60,20040330,39.4969101,59.65829468,1127
61,20040331,39.56931686,59.94658661,1126.209961
62,20040401,39.7720871,59.97550201,1132.170044
63,20040402,40.13418579,59.42625809,1141.810059
64,20040405,40.39850235,59.06208801,1150.569946
65,20040406,40.28989029,59.22971344,1148.160034
